flyer_item,sku,offer,discount,offer_price,regular_price,instalment_mth,platform,category,url,report_time,,platform,flyer items,offer items,discount items,items by instl./mth,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,flyer items,offer items,discount items,items by instl./mth,portfolio %,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,Leon's items,Tepperman's items,The Brick items,Walmart items,,flyer - category,Leon's discount %,Tepperman's discount %,The Brick discount %,Walmart discount %
"Hallie Striped 3-Piece Twin Cotton Sheet Set, , BUYER'S BEST $49.00 . Select for details.",Hallie Striped 3-Piece Twin Cotton Sheet Set,,,49,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kort & Co. Medallion 4-Piece Queen Comforter Set, 30% OFF†,  . Select for details.",Kort & Co. Medallion 4-Piece Queen Comforter Set,30% OFF†,,,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kort & Co. Antarctica 3-Piece Queen Duvet Cover Set, 30% OFF†,  . Select for details.",Kort & Co. Antarctica 3-Piece Queen Duvet Cover Set,30% OFF†,,,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kort & Co. Queen Duvet Insert, 30% OFF†,  . Select for details.",Kort & Co. Queen Duvet Insert,30% OFF†,,,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kort & Co. Stripe 4-Piece Queen Sheet Set, 30% OFF†,  . Select for details.",Kort & Co. Stripe 4-Piece Queen Sheet Set,30% OFF†,,,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scott Living Reno Panel Bed with Headboard & Frame, Wooden, Natural Brown - Queen Size, , $699.95 After Discount . Select for details.",Scott Living Reno Panel Bed with Headboard & Frame,"Wooden, Natural Brown - Queen Size, ",,699.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kort & Co. Lines 4-Piece Queen Comforter Set, 30% OFF†,  . Select for details.",Kort & Co. Lines 4-Piece Queen Comforter Set,30% OFF†,,,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEDGEAR Night Ice 3.0 Performance Pillow - Side Sleeper, Buy 2 Cosmo or Night Ice Pillows and get 50% OFF† VER-TEX SHEETS + Get a OFF+BONUS+ COOLING BLANKET,  . Select for details.",BEDGEAR Night Ice 3.0 Performance Pillow - Side Sleeper,Buy 2 Cosmo or Night Ice Pillows and get 50% OFF† VER-TEX SHEETS + Get a OFF+BONUS+ COOLING BLANKET,,,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEDGEAR Body Pillow, 30% OFF†, $139.00 After Discount . Select for details.",BEDGEAR Body Pillow,30% OFF†,59.571,139,198.571,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEDGEAR Ver-Tex® Performance Queen Mattress Protector, BUY ONE, GET ONE 50% OFF† EQUAL OR LESSER VALUE,  . Select for details.",BEDGEAR Ver-Tex® Performance Queen Mattress Protector,"BUY ONE, GET ONE 50% OFF† EQUAL OR LESSER VALUE",,,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walden 3-Piece Crib Bedding Set, BUYER'S BEST, $69.00 . Select for details.",Walden 3-Piece Crib Bedding Set,BUYER'S BEST,,69,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stearns & Foster® Memory Foam Pillow, 20% OFF†, $159.00 After Discount . Select for details.",Stearns & Foster® Memory Foam Pillow,20% OFF†,39.75,159,198.75,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Masterguard® Charcoal Queen Sleep Package, 25% OFF†, $129.95 After Discount . Select for details.",Masterguard® Charcoal Queen Sleep Package,25% OFF†,43.317,129.95,173.267,,The Brick,,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Masterguard® Cooltouch™ Queen Mattress Protector with 2 Queen Pillows, 25% OFF†, $109.95 After Discount . Select for details.",Masterguard® Cooltouch™ Queen Mattress Protector with 2 Queen Pillows,25% OFF†,36.65,109.95,146.6,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Masterguard® Natural Bamboo™ Queen Mattress Protector with 2 Queen Pillows, 10% OFF†, $79.95 After Discount . Select for details.",Masterguard® Natural Bamboo™ Queen Mattress Protector with 2 Queen Pillows,10% OFF†,8.883,79.95,88.833,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breeze Queen Platform Base - Dark Grey, , $399.95 ea. . Select for details.",Breeze Queen Platform Base - Dark Grey,,,399.95,,,The Brick,,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zephyr Queen Platform Base, , $299.95 ea. . Select for details.",Zephyr Queen Platform Base,,,299.95,,,The Brick,,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance 2000 Deluxe Full/Queen/King Bed Frame, , $239.97 . Select for details.",Balance 2000 Deluxe Full/Queen/King Bed Frame,,,239.97,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deluxe Full/Queen/King Bed Frame, , $134.97 . Select for details.",Deluxe Full/Queen/King Bed Frame,,,134.97,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deluxe Full/Queen/King Metal Bed Frame with Caster Wheels, , $134.97 . Select for details.",Deluxe Full/Queen/King Metal Bed Frame with Caster Wheels,,,134.97,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deluxe Full/Queen/King Metal Support Rails - Set of 3, , $109.97 . Select for details.",Deluxe Full/Queen/King Metal Support Rails - Set of 3,,,109.97,,,The Brick,,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
